Year,Mean_White_Wealth,Mean_Black_Wealth,Mean_Black_40_Wealth,Mean_White_Land,Mean_Black_Land,Mean_Black_40_Land,Mean_White_Invest,Mean_Black_Invest,Mean_Black_40_Invest,Mean_White_Income,Mean_Black_Income,Mean_Black_40_Income,Diff_White_Wealth,Diff_Black_Wealth,Diff_Black_40_Wealth
1860,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,,,
1861,4004.1477801140295,1.2264934172928312,12.093706383269444,3776.429124428498,0.0,0.0,212.11838909624987,0.0,0.0,15.600266589281159,1.2264934172928312,12.093706383269444,-205.28121988596877,1.2264934172928312,12.093706383269444
1862,3798.662794377357,2.4765277144871374,23.83757129001788,3580.424377021758,1.1402539671878498,11.24337841491511,202.01526172842298,0.0,0.0,16.223155627176094,1.3362737472992874,12.594192875102769,-205.48498573667257,1.2500342971943061,11.743864906748437
1863,3594.6596229731313,3.7458679561571904,35.16829899923781,3384.0060259966313,2.2929942013459144,22.07077429533404,193.78118512957212,0.0,0.0,16.87241184692738,1.4528737548112753,13.097524703903769,-204.00317140422567,1.269340241670053,11.330727709219932
1864,3387.2253488538563,5.028828372268391,46.03277804431824,3188.623678267578,3.4521918944763557,32.41049193783037,181.05491722500497,0.0,0.0,17.546753361273037,1.5766364777920363,13.622286106487875,-207.43427411927496,1.2829604161112007,10.86447904508043
1865,3177.692940354224,6.318364115318941,392.2327780443182,2989.8596831386585,4.6101217476319984,32.41049193783037,169.58482431571716,0.0,0.0,18.248432899848748,1.708242367686941,13.622286106487875,-209.5324084996323,1.2895357430505499,346.19999999999993
1866,2967.0987517048725,7.605807582815452,372.2122429254696,2788.851417642669,5.758506703623288,357.4719117963929,159.26994228672913,0.0,0.0,18.977391775473915,1.8473008791921646,14.740331129076669,-210.5941886493515,1.2874434674965114,-20.020535118848613
1867,2754.664184861373,8.878430657362873,352.1946653719583,2586.43482311727,6.883400365778416,336.858300764429,148.49439122657373,0.0,0.0,19.73497051752964,1.9950302915844587,15.336364607529315,-212.4345668434994,1.272623074547421,-20.017577553511273
1868,2540.1880064884785,10.106681441620015,331.48571312253245,2381.821687825064,7.954778926618291,315.55631154160085,137.83995248023203,0.0,0.0,20.526366183182557,2.1519025150017246,15.929401580931485,-214.47617837289454,1.228250784257142,-20.708952249425863
1869,2323.1361011623135,11.269855455758314,310.1715202486233,2174.6964314222064,8.952146647488497,293.6123996940816,127.09386157563966,0.0,0.0,21.3458081644673,2.3177088082698187,16.55912055454165,-217.05190532616507,1.1631740141382991,-21.31419287390912
1870,2102.921598551817,12.348891481455182,288.477053208806,1964.4033190114521,9.855355788984417,271.2414865942566,116.31768223312115,0.0,0.0,22.20059730724436,2.4935356924707643,17.23556661454941,-220.2145026104963,1.0790360256968672,-21.69446703981731
1871,2186.151961246861,15.308149681350464,313.5919376931254,2053.1884865041575,12.657424869549358,295.67905676562117,109.87506272492301,0.0,0.0,23.08841201778018,2.650724811801105,17.912880927504172,83.23036269504382,2.9592581998952827,25.11488448431936
1872,2269.7502112753064,18.48560814852569,339.6012426364054,2127.2530008286626,15.668708855937512,320.97341405206697,118.48760605315789,0.0,0.0,24.00960439348585,2.8168992925881815,18.627828584338463,83.59825002844536,3.1774584671752244,26.00930494328003
1873,2352.616110447487,21.90328277229027,366.8131803842457,2201.3357849916965,18.911712081722676,347.42935895779806,126.30951471887676,0.0,0.0,24.97081073691321,2.9915706905675927,19.38382142644761,82.86589917218043,3.417674623764583,27.211937747840295
1874,2436.927012505907,25.557977173328947,394.98205070719274,2274.3706553184193,22.381820920909185,374.8218917644949,136.5862758160785,0.0,0.0,25.97008137140909,3.1761562524197617,20.16015894269782,84.3109020584202,3.6546944010386753,28.168870322947043
1875,2521.8538174856303,29.438386332156522,423.81169420645756,2348.463473804809,26.067346223523394,402.8636647257366,146.3814292642853,0.0,0.0,27.00891441653609,3.3710401086331263,20.948029480721033,84.92680497972333,3.8804091588275753,28.82964349926482
1876,2606.6240259901747,33.568931710854045,453.58891123768296,2422.805413678748,29.993365910009214,431.8009990965206,155.72967329230937,0.0,0.0,28.08893901911719,3.5755658008448243,21.78791214116238,84.77020850454437,4.130545378697523,29.777217031225405
1877,2693.440038447937,37.970943783900715,484.5056556095779,2496.65197894604,34.17949407591289,461.8413336601598,167.57664727010837,0.0,0.0,29.21141223178823,3.791449707987824,22.664321949418017,86.8160124577621,4.40201207304667,30.916744371894936
1878,2782.1354328850093,42.66957404038292,516.7655123349706,2572.1085030249224,38.6508438846129,493.1810556637352,179.6489555566835,0.0,0.0,30.377974303404418,4.018730155770016,23.584456671235316,88.69539443707254,4.698630256482204,32.259856725392694
1879,2877.1220611821545,47.611024745847025,549.5553938328319,2648.999986346332,43.35263213912522,525.0599961656088,196.53089274816872,0.0,0.0,31.59118208765384,4.2583926067218005,24.49539766722311,94.98662829714522,4.941450705464106,32.7898814978613
1880,2958.4433305368416,52.856066131932685,583.7285868604378,2721.488562872331,48.34538662420672,558.2342742500847,204.10206201712757,0.0,0.0,32.852705647383225,4.510679507725967,25.494312610353063,81.32126935468705,5.24504138608566,34.17319302760586
1881,3097.5704929944463,59.45688749162011,630.4183232775214,2852.2563799409954,54.62893691387685,603.3268518639742,211.1471110123475,0.05258922884941821,0.5808001340698596,34.16700204110314,4.775361348893842,26.51067127947741,139.12716245760475,6.600821359687423,46.68973641708362
1882,3235.4916737811723,66.42537733689294,678.29379931316,2977.610809722037,61.251909055791316,649.4695939198045,222.3474361062143,0.11827300507094729,1.2540787994891132,35.53342795292046,5.055195276030683,27.570126593866306,137.92118078672593,6.968489845272828,47.8754760356386
1883,3373.063592918131,73.79444239697547,727.5611593403719,3101.537664165573,68.2459888083259,696.8574473940702,234.57187447735797,0.19819990756020178,2.023812447703781,36.95405427520014,5.350253681089369,28.679899498597866,137.5719191369585,7.369065060082534,49.26736002721191
1884,3509.494533246131,81.53085622078348,777.847778566228,3224.8646625773717,75.57727095873624,745.1444368214188,246.19513134137048,0.2933228515399454,2.8919791392959833,38.43473932738944,5.660262410507291,29.811362605513267,136.43094032800036,7.736413823808007,50.28661922585616
1885,3660.0597384644016,89.75773610233341,830.2620109503285,3346.8384172610395,83.36454432402662,795.3438728674153,273.2503410755854,0.40681734880549686,3.8812625723831182,39.97098012777674,5.986374429501295,31.036875510530056,150.56520521827042,8.226879881549934,52.4142323841005
1886,3805.2610239707114,98.39651985182927,883.9014400091652,3481.9980442140354,91.53074906474028,846.6692234677397,281.69289041603446,0.5365076009912709,4.9627527203402355,41.57008934064174,6.3292631860977275,32.26946382108531,145.2012855063099,8.638783749495857,53.63942905883664
