Year,Mean_White_Wealth,Mean_Black_Wealth,Mean_Black_40_Wealth,Mean_White_Land,Mean_Black_Land,Mean_Black_40_Land,Mean_White_Invest,Mean_Black_Invest,Mean_Black_40_Invest,Mean_White_Income,Mean_Black_Income,Mean_Black_40_Income,Diff_White_Wealth,Diff_Black_Wealth,Diff_Black_40_Wealth
1860,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,,,
1861,4004.1478049165785,1.2264903184012728,1.220890197309275,3776.429124428498,0.0,0.0,212.11838909624987,0.0,0.0,15.600291391830378,1.2264903184012728,1.220890197309275,-205.2811950834198,1.2264903184012728,1.220890197309275
1862,3798.6646474930235,2.475566125007789,2.4629633744573183,3580.4243991996736,1.1393406023810515,1.1341271003147535,202.0152629797488,0.0,0.0,16.224985313600676,1.3362255226267374,1.3288362741425652,-205.48315742355499,1.2490758066065164,1.2420731771480433
1863,3594.663718868921,3.7453477260141925,3.7269027008320745,3384.0076768287586,2.2923078792541123,2.2805914922992723,193.78127966256162,0.0,0.0,16.874762377600874,1.45303984676008,1.4463112085328023,-204.00092862410247,1.2697816010064034,1.2639393263747563
1864,3387.2324017922106,5.027924777888029,5.0032343470743905,3188.62731151013,3.4510904122647696,3.43412712412865,181.05512352606013,0.0,0.0,17.549966756020222,1.5768343656232595,1.5691072229457412,-207.43131707671046,1.2825770518738366,1.276331646242316
1865,3177.7022731670377,6.314747365567514,351.20323434707433,2989.8659086754496,4.6063892230540295,3.43412712412865,169.58517742812882,0.0,0.0,18.25118706345912,1.7083581425134835,1.5691072229457412,-209.5301286251729,1.2868225876794845,346.19999999999993
1866,2967.1116558738404,7.598626293428561,321.6586291762094,2788.859608436662,5.750797486676868,319.8202855166196,159.2704100589734,0.0,0.0,18.981637378204937,1.8478288067516928,1.8383436595897729,-210.59061729319728,1.2838789278610472,-29.54460517086494
1867,2754.6823521170845,8.867272852913494,292.8577071913898,2586.446071745905,6.871491726840695,290.87148088538896,148.49503704151806,0.0,0.0,19.741243329661614,1.9957811260727998,1.986226306000815,-212.42930375675587,1.2686465594849334,-28.80092198481958
1868,2540.209837464599,10.096364431842666,264.5056921718373,2381.8373961512916,7.944002376220644,262.3642175916553,137.84086154699878,0.0,0.0,20.531579766308884,2.152362055622023,2.1414745801820483,-214.47251465248564,1.2290915789291716,-28.352015019552482
1869,2323.1624740586603,11.273703378049312,236.92085911087636,2174.715121277344,8.955219262167207,234.61226197069197,127.09495385032564,0.0,0.0,21.35239893099097,2.318484115882105,2.308597140184354,-217.04736340593854,1.1773389462066461,-27.58483306096096
1870,2102.9503195723737,12.358672729887305,209.78469467378943,1964.425619472062,9.864391638650906,207.30072862777126,116.31900270426156,0.0,0.0,22.205697396050034,2.494281091236398,2.4839660460181667,-220.21215448628664,1.0849693518379926,-27.136164437086933
1871,2186.1852993316643,15.314217104889426,217.57446055331408,2053.2165282860137,12.662759857269274,214.9379273047037,109.8765633628628,0.0,0.0,23.09220768278765,2.6514572476201526,2.6365332486103443,83.23497975929058,2.9555443750021215,7.789765879524651
1872,2269.791418706586,18.495716286609955,225.54822101512522,2127.285440724057,15.67836938335395,222.74554381421896,118.4894129494436,0.0,0.0,24.01656503308526,2.817346903256004,2.8026772009062597,83.60611937492149,3.181499181720529,7.973760461811139
1873,2352.6654282182576,21.91072248385855,233.67089105171206,2201.375750355565,18.918382536649997,230.69295418035762,126.31180787458257,0.0,0.0,24.977869988109575,2.9923399472085506,2.9779368713544128,82.87400951167183,3.4150061972485943,8.12267003658684
1874,2436.984700560401,25.551309581534863,241.76996791028293,2274.41833283373,22.37414170347135,238.61001060200897,136.58913906716788,0.0,0.0,25.977228659503407,3.1771678780635133,3.1599573082739814,84.31927234214345,3.6405870976763133,8.099076858570868
1875,2521.920134764313,29.45026917261092,250.11380266520754,2348.5190677098217,26.078487594150694,246.75820732779306,146.38489447265016,0.0,0.0,27.01617258184145,3.3717815784602267,3.3555953374144374,84.93543420391188,3.898959591076057,8.343834754924615
1876,2606.699094085613,33.59614124114154,258.4892830580507,2422.8691262780667,30.01954543130531,254.93090933925546,155.73376852101424,0.0,0.0,28.096199286532606,3.5765958098362223,3.558373718795269,84.77895932130014,4.145872068530618,8.375480392843173
1877,2693.5247564767064,38.02728968744032,267.17840687157997,2496.723879959444,34.234646517979435,263.40343416974594,167.58147330548022,0.0,0.0,29.219403211782744,3.7926431694608813,3.77497270183404,86.82566239109337,4.431148446298785,8.68912381352925
1878,2782.2309141786927,42.70951729502358,275.84181026895436,2572.189404756183,38.68945937534147,271.8428983439776,179.65460613927235,0.0,0.0,30.386903283236997,4.020057919682111,3.9989119249768192,88.70615770198629,4.682227607583258,8.663403397374395
1879,2877.2318315517623,47.65768695223688,284.5355488516354,2649.0908985077867,43.39807845842425,280.30008912709627,196.5376375757808,0.0,0.0,31.603295468195103,4.259608493812635,4.235459724539124,95.00091737306957,4.948169657213299,8.693738582681021
1880,2958.6091604962076,52.90595203291973,293.4868881757214,2721.629742390308,48.3938588344636,288.99801214738767,204.11297462749454,0.0,0.0,32.866443478405316,4.512093198456123,4.4888760283337,81.37732894444525,5.248265080682849,8.951339324086007
1881,3097.755026362014,59.586868329602304,308.8199813306674,2852.4162577911825,54.75663581599445,303.7681275153722,211.15894646529603,0.05271215979346841,0.29242618431784295,34.17982210553574,4.77752035381438,4.759427630977469,139.14586586580663,6.680916296682575,15.333093154946027
1882,3235.695768620957,66.61372245434778,324.06489019868263,2977.7881966616624,61.437500934501145,318.415549456639,222.36068213927396,0.11863136956195083,0.6148373899865053,35.546889820020695,5.0575901502846845,5.034503352057163,137.94074225894292,7.026854124745476,15.244908868015216
1883,3373.2847396593934,73.98935721152793,339.2188301762889,3101.733309185396,68.43862991737765,332.9274581080058,234.58667127301274,0.19875937560620796,0.9668874694831809,36.964759200984794,5.351967918544073,5.324484598799853,137.58897103843628,7.375634757180151,15.153939977606285
1884,3509.7317738084316,81.78631872546258,354.6423149002336,3225.0760930148645,75.8303487636904,347.65912163538235,246.2112725286061,0.29430507149137974,1.349299380995647,38.44440826496145,5.661664890280814,5.633893883855652,136.44703414903825,7.796961513934647,15.423484723944682
1885,3660.3142549499994,89.94590229417061,370.0088328403798,3347.0646623286752,83.55095413567403,362.28520900157787,273.26881269990383,0.40772702504712516,1.767944747165007,39.980779921420556,5.987221133449451,5.955679091636882,150.58248114156777,8.15958356870803,15.366517940146196
1886,3805.5339145239855,98.49328679042921,385.44025274818523,3482.240178487353,91.62540168507351,376.9378063889738,281.712479026497,0.5370624074446367,2.209421427171124,41.58125701013511,6.330822697911042,6.29302493204024,145.21965957398606,8.547384496258601,15.431419907805434
1887,3946.5367282861894,107.59011140728833,401.5050524377806,3612.0013651841446,100.21249094089362,392.1601223610382,291.28875960374745,0.6858672243678254,2.6839945011461017,43.246603498297915,6.691753242026867,6.660935575596291,141.0028137622039,9.096824616859124,16.06479968959536
