Year,Mean_White_Wealth,Mean_Black_Wealth,Mean_Black_40_Wealth,Mean_White_Land,Mean_Black_Land,Mean_Black_40_Land,Mean_White_Invest,Mean_Black_Invest,Mean_Black_40_Invest,Mean_White_Income,Mean_Black_Income,Mean_Black_40_Income,Diff_White_Wealth,Diff_Black_Wealth,Diff_Black_40_Wealth
1860,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,,,
1861,4010.03235276646,1.5213272311002628,1.5213272311002628,3782.312515249999,0.0,0.0,212.11838909624987,0.0,0.0,15.6014484202114,1.5213272311002628,1.5213272311002628,-199.39664723353826,1.5213272311002628,1.5213272311002628
1862,3809.204376015997,3.087065681335667,3.087065681335667,3590.6668834960983,1.4293243156586781,1.4293243156586781,202.31214724559706,0.0,0.0,16.22534527430163,1.6577413656769888,1.6577413656769888,-200.82797675046322,1.5657384502354041,1.5657384502354041
1863,3608.6530339254887,4.690791753369622,4.690791753369622,3397.4589956875325,2.8883570749465988,2.8883570749465988,194.31894283370409,0.0,0.0,16.875095404252484,1.8024346784230223,1.8024346784230223,-200.55134209050811,1.6037260720339548,1.6037260720339548
1864,3403.471405747822,6.324113329390493,6.324113329390493,3204.163580030698,4.368082106332423,4.368082106332423,181.75973384950058,0.0,0.0,17.548091867622905,1.9560312230580705,1.9560312230580705,-205.18162817766688,1.6333215760208715,1.6333215760208715
1865,3195.0171925337536,7.975786474156317,352.5241133293905,3006.3685884922506,5.856894002768354,4.368082106332423,170.39819940017043,0.0,0.0,18.250404641331965,2.118892471387962,1.9560312230580705,-208.4542132140682,1.651673144765824,346.2
1866,2984.361431763352,9.631425313865657,326.6942560706563,2805.241965565961,7.339537707493319,324.402368464284,160.13825546128237,0.0,0.0,18.981210736108576,2.2918876063723372,2.2918876063723372,-210.65576077040168,1.65563883970934,-25.829857258734194
1867,2770.7587906964122,11.271659082457683,300.84899374080476,2601.6594935873113,8.79649773104291,298.37383238939003,149.35833657546047,0.0,0.0,19.74096053364079,2.4751613514147737,2.4751613514147737,-213.60264106693967,1.6402337685920259,-25.84526232985155
1868,2554.0485572699113,12.871281323071571,274.96311988297515,2394.873196797717,10.201799308731273,272.29363786863485,138.64530643796007,0.0,0.0,20.530054034234862,2.6694820143402977,2.6694820143402977,-216.71023342650096,1.599622240613888,-25.88587385782961
1869,2333.7573471026076,14.396863556525423,249.00320601798546,2184.618416450068,11.521473734513659,246.12781619597365,127.78734997802479,0.0,0.0,21.351580674515155,2.8753898220117633,2.8753898220117633,-220.2912101673037,1.5255822334538518,-25.959913864989687
1870,2109.3693271432307,15.803964489492232,222.9248108525087,1970.3140374119464,12.710187344105002,219.83103370712152,116.84948005141726,0.0,0.0,22.2058096798675,3.0937771453872314,3.0937771453872314,-224.38801995937683,1.4071009329668094,-26.078395165476763
1871,2204.717141927953,19.690900984628577,234.64875234516464,2071.411260307277,16.401952335040587,231.35980369557663,110.21194860022275,0.0,0.0,23.093933020452916,3.2889486495879874,3.2889486495879874,95.34781478472223,3.8869364951363448,11.723941492655939
1872,2301.1087262461483,23.903433729535774,246.69829008759135,2157.5960439747764,20.408798416359822,243.2036547744154,119.49382330330384,0.0,0.0,24.018858968068418,3.4946353131759498,3.4946353131759498,96.39158431819533,4.212532744907197,12.049537742426708
1873,2397.4111338810762,28.456485141757213,259.08834649733234,2244.378324918598,24.744258031579747,255.37611938715483,128.05458727734398,0.0,0.0,24.97822168513369,3.7122271101774635,3.7122271101774635,96.30240763492793,4.553051412221439,12.390056409740993
1874,2495.813689456145,33.36431087182264,271.83317722491734,2330.650775173433,29.423453083467408,267.89231943656205,139.18694891302678,0.0,0.0,25.97596536968448,3.9408577883552303,3.9408577883552303,98.40255557506862,4.907825730065426,12.744830727584997
1875,2595.4732487048673,38.64266436997344,284.94853572058764,2418.5395480513307,34.46079057183559,280.7666619224498,149.9186365307993,0.0,0.0,27.01506412273749,4.18187379813785,4.18187379813785,99.65955924872242,5.2783534981508,13.115358495670307
1876,2695.5852287779303,44.30860623550581,298.4514825836395,2507.2142752635036,39.87220369083623,294.01508003897,160.2758249733644,0.0,0.0,28.095128541062515,4.4364025446695825,4.4364025446695825,100.11198007306302,5.665941865532375,13.502946863051875
1877,2798.4095467076013,50.16412499791341,310.89055170422733,2595.892179669799,45.460047234921355,306.2086208803131,173.29585339713128,0.0,0.0,29.221513640670857,4.70407776299205,4.681930823914198,102.824317929671,5.855518762407598,12.439069120587817
