Year,Mean_White_Wealth,Mean_Black_Wealth,Mean_Black_40_Wealth,Mean_White_Land,Mean_Black_Land,Mean_Black_40_Land,Mean_White_Invest,Mean_Black_Invest,Mean_Black_40_Invest,Mean_White_Income,Mean_Black_Income,Mean_Black_40_Income,Diff_White_Wealth,Diff_Black_Wealth,Diff_Black_40_Wealth
1860,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,,,
1861,4004.1464494698344,1.2266445535066666,1.5726212224444447,3776.429124428498,0.0,0.0,212.11838909624987,0.0,0.0,15.598935945086097,1.2266445535066666,1.5726212224444447,-205.28255053016392,1.2266445535066666,1.5726212224444447
1862,3798.6611608498165,2.4821683254984355,3.1822670839723535,3580.4231871878224,1.145899547935954,1.4691019845332745,202.0151945954274,0.0,0.0,16.222779066566968,1.3362687775624817,1.7131650994390792,-205.48528862001785,1.255523771991769,1.6096458615279088
1863,3594.657863630856,3.7620548371188036,4.82314722707539,3384.0045707826944,2.309308248993793,2.9606516012740935,193.78110179843168,0.0,0.0,16.87219104972973,1.452746588125011,1.8624956258012964,-204.0032972189606,1.2798865116203682,1.6408801431030366
1864,3387.222939075693,5.060424352500181,6.487723528846387,3188.622117652381,3.4837361964338474,4.466328456966472,181.05482861089303,0.0,0.0,17.545992812418326,1.5766881560663344,2.021395071879916,-207.43492455516298,1.2983695153813777,1.664576301770997
1865,3177.6891390738538,6.368700206877424,352.68772352884633,2989.8575560588697,4.660845935955719,4.466328456966472,169.58470366776362,0.0,0.0,18.2468793472206,1.7078542709217055,2.021395071879916,-209.53380000183915,1.3082758543772428,346.19999999999993
1866,2967.094430854231,7.6764491373510175,325.17047109500925,2788.8480815097114,5.829035072830581,322.80199152511125,159.2697517618054,0.0,0.0,18.97659758271423,1.8474140645204367,2.368479569897996,-210.5947082196226,1.3077489304735934,-27.517252433837086
1867,2754.660883186272,8.969053106596338,297.97061920919293,2586.431056610153,6.9739458337094025,295.4127893721584,148.49417498096167,0.0,0.0,19.735651595156977,1.9951072728869348,2.5578298370345323,-212.43354766795937,1.2926039692453202,-27.199851885816315
1868,2540.1865920934506,10.227574733820598,271.05793334063554,2381.818833030129,8.075936401644084,268.299422658358,137.83978726853704,0.0,0.0,20.52797179478402,2.151638332176515,2.7585106822775836,-214.4742910928212,1.25852162722426,-26.91268586855739
1869,2323.138102785607,11.427446868151444,244.39443384462595,2174.6952205355265,9.109370265091767,241.4225407637802,127.09379080885961,0.0,0.0,21.349091441220377,2.318076603059676,2.971893080845738,-217.04848930784374,1.199872134330846,-26.663499496009592
1870,2102.924816544478,12.534440775477204,217.92902550125189,1964.4050115491548,10.040466857732612,214.73162304260498,116.31778245289824,0.0,0.0,22.20202254242492,2.49397391774459,3.197402458646911,-220.21328624112903,1.1069939073257604,-26.465408343374065
1871,2186.1584297253953,15.56805786568361,227.97924009566586,2053.191628392797,12.91700545869155,224.58045495849652,109.87523086107497,0.0,0.0,23.09157047152326,2.6510524069920574,3.3987851371693054,83.23361318091747,3.0336170902064055,10.050214594413973
1872,2269.7638931670513,18.839556022361272,238.24124413901427,2127.259295034471,16.02216514024404,234.62920454655634,118.48795663927908,0.0,0.0,24.016641493300796,2.8173908821172304,3.6120395924579882,83.60546344165596,3.271498156677662,10.262004043348412
1873,2352.635681677492,22.35764409209882,248.72731425828468,2201.3490544861793,19.365412526379195,244.89111994325953,126.31027610358692,0.0,0.0,24.976351087725988,2.9922315657196226,3.8361943150251574,82.87178851044064,3.518088069737548,10.486070119270408
1874,2436.95273679192,26.13240808463345,259.45147141035665,2274.3895756305833,22.955509201572113,255.37852412438056,136.5874120666583,0.0,0.0,25.975749094677955,3.1768988830613365,4.072947285976072,84.31705511442806,3.7747639925346306,10.724157152071967
1875,2521.888017779388,30.174294446591,270.4281786782575,2348.4882642666416,26.802614790230116,266.1055124521538,146.38297447172647,0.0,0.0,27.016779041020147,3.371679656360881,4.322666226103694,84.9352809874681,4.041886361957548,10.97670726790085
1876,2606.6661667392013,34.493973838238894,281.6721677659641,2422.8382707207747,30.9172404382196,277.0866121249138,155.73178523096988,0.0,0.0,28.09611078745717,3.576733400019298,4.585555641050383,84.77814895981328,4.319679391647895,11.243989087706609
1877,2693.492676377355,38.95065098386712,291.93782641106554,2496.6923417998323,35.15800323635364,287.0964044302686,167.57935644694587,0.0,0.0,29.220978130577098,3.7926477475134837,4.84142198079686,86.82650963815377,4.456677145628227,10.265658645101439
1878,2782.200152769056,43.64217416235182,302.0956966068228,2572.158769770758,39.62183145455187,296.9692602245837,179.6524664382727,0.0,0.0,30.388916560025187,4.020342707799957,5.1264363822390795,88.70747639170077,4.691523178484701,10.157870195757255
1879,2877.2004292323395,48.64567410575886,312.6760449260317,2649.0616091451107,44.38596806702569,307.2407649183277,196.53546458045258,0.0,0.0,31.603355506776925,4.2597060387331505,5.43528000770397,95.00027646328363,5.003499943407036,10.580348319208895
