Year,Mean_White_Wealth,Mean_Black_Wealth,Mean_Black_40_Wealth,Mean_White_Land,Mean_Black_Land,Mean_Black_40_Land,Mean_White_Invest,Mean_Black_Invest,Mean_Black_40_Invest,Mean_White_Income,Mean_Black_Income,Mean_Black_40_Income,Diff_White_Wealth,Diff_Black_Wealth,Diff_Black_40_Wealth
1860,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,4209.428999999998,0.0,0.0,,,
1861,4004.147874079108,1.226466644662967,1.226466644662967,3776.429124428498,0.0,0.0,212.11838909624987,0.0,0.0,15.600360554359245,1.226466644662967,1.226466644662967,-205.2811259208902,1.226466644662967,1.226466644662967
1862,3798.6625591983607,2.477608576389714,2.482078706559867,3580.424461043346,1.141263219935316,1.1457333501054687,202.01526646910213,0.0,0.0,16.222831685912066,1.3363453564543983,1.3363453564543983,-205.4853148807474,1.2511419317267471,1.2556120618969
1863,3594.658979659865,3.7457429924496792,3.7621412494139497,3384.0058164894485,2.2928266142215072,2.3092248711857786,193.78117313238596,0.0,0.0,16.87199003803057,1.452916378228172,1.452916378228172,-204.00357953849561,1.268134416059965,1.2800625428540826
1864,3387.2245742878736,5.027958961181746,5.060407342767116,3188.623107619971,3.451367834320134,3.4838162159055064,181.05488482276314,0.0,0.0,17.546581845139908,1.57659112686161,1.57659112686161,-207.4344053719915,1.2822159687320664,1.298266093353166
1865,3177.691623246381,6.315607900746862,351.2604073427671,2989.8589994393574,4.6075218230860795,3.4838162159055064,169.5847855362967,0.0,0.0,18.247838270727037,1.7080860776607827,1.57659112686161,-209.53295104149265,1.2876489395651163,346.2
1866,2967.097670746484,7.603213759013245,323.3430847344029,2788.850261704023,5.755750986322981,321.4956219617127,159.26987627163766,0.0,0.0,18.977532770822865,1.8474627726902617,1.8474627726902617,-210.5939524998971,1.2876058582663834,-27.917322608364202
1867,2754.6628627336104,8.869927612273463,295.74774962806634,2586.4338808404354,6.874812606675351,293.7526346224683,148.49433712784926,0.0,0.0,19.7346447653253,1.9951150055981106,1.9951150055981106,-212.43480801287342,1.2667138532602173,-27.595335106336563
1868,2540.185917157668,10.096292145580982,268.4496130231975,2381.82054464667,7.944580198365679,266.2979010759822,137.83988632261142,0.0,0.0,20.525486188386445,2.1517119472153032,2.1517119472153032,-214.4769455759424,1.2263645333075193,-27.29813660486883
1869,2323.1340121204785,11.266503316668443,241.41708473956612,2174.694642711982,8.948812733805218,239.09939415670294,127.09375703962888,0.0,0.0,21.345612368867453,2.317690582863226,2.317690582863226,-217.0519050371895,1.1702111710874608,-27.032528283631393
1870,2102.9194605221087,12.342180428588184,214.6091892678843,1964.4015525541565,9.848633979715075,212.1156428190112,116.31757763636327,0.0,0.0,22.200330331589043,2.493546448873105,2.493546448873105,-220.21455159836978,1.0756771119197417,-26.80789547168183
1871,2186.1503505395385,15.311761821820856,223.81006118922053,2053.1863990378515,12.66099436687479,221.15929373427443,109.8749510155048,0.0,0.0,23.08900048618231,2.650767454946068,2.650767454946068,83.23089001742983,2.969581393232671,9.200871921336244
1872,2269.750778202996,18.496504179073778,233.15543171701003,2127.251433516762,15.679486627789432,230.3384141657257,118.48751875416953,0.0,0.0,24.011825932064433,2.8170175512843465,2.8170175512843465,83.6004276634576,3.1847423572529223,9.345370527789498
1873,2352.615730358207,21.908188434677083,242.6551266365692,2201.336334831148,18.916412282947206,239.66335048483936,126.30954626788204,0.0,0.0,24.969849259177224,2.991776151729873,2.991776151729873,82.86495215521109,3.411684255603305,9.499694919559175
1874,2436.9240485668756,25.552182767682783,252.31996896132398,2274.370287870496,22.376174116691463,249.14396031033266,136.58625374916377,0.0,0.0,25.967506947215593,3.176008650991323,3.176008650991323,84.30831820866842,3.6439943330057005,9.664842324754773
1875,2521.8497394991787,29.43927160534485,262.1617002116777,2348.4606174605206,26.068682800270054,258.7911114066029,146.38125122627702,0.0,0.0,27.007870812380443,3.3705888050747985,3.3705888050747985,84.92569093230304,3.8870888376620663,9.841731250353746
1876,2606.6202860785947,33.602300433452285,272.1921292592745,2422.801495859411,30.026769102703682,268.61659792852595,155.72942146823715,0.0,0.0,28.08936875094662,3.575531330748605,3.575531330748605,84.77054657941608,4.163028828107436,10.030429047596783
1877,2693.4370859176424,38.038656542925686,282.4237856587725,2496.648396819291,34.24713786675839,278.6322669826052,167.5764068358004,0.0,0.0,29.21228226255093,3.7915186761672914,3.7915186761672914,86.81679983904769,4.436356109473401,10.231656399497979
1878,2782.1347025796263,42.69680819982749,292.8697647320129,2572.105683497415,38.677732381636346,288.8506889138218,179.64875862674407,0.0,0.0,30.380260455466697,4.019075818191139,4.019075818191139,88.69761666198383,4.658151656901801,10.445979073240437
1879,2877.1250223420598,47.65225777447509,303.54347956734944,2648.9992909887555,43.393776145822756,299.284997938697,196.53084115917437,0.0,0.0,31.594890194129764,4.258481628652338,4.258481628652338,94.9903197624335,4.955449574647602,10.673714835336511
1880,2958.499568852935,52.88792764678018,314.44250749874567,2721.534664359524,48.37704865387437,309.93162850583985,204.1058958614068,0.0,0.0,32.85900863200437,4.5108789929058215,4.5108789929058215,81.37454651087546,5.235669872305088,10.899027931396233
